Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR1751227_1	80.44612833643671	49.0	101.0	45.45454545454545	18549392.0
SRR1751227_2	61.36877193118077	50.0	101.0	54.54545454545454	18549392.0
SRR1751228_1	67.83121158388519	49.0	101.0	18.181818181818183	24090720.0
SRR1751228_2	65.36994241081311	49.0	101.0	18.181818181818183	24090720.0
SRR1751229_1	59.27756222939395	52.0	101.0	18.181818181818183	21737633.0
SRR1751229_2	56.85744832566377	52.0	101.0	18.181818181818183	21737633.0
SRR1751230_1	54.44584377600228	46.0	101.0	18.181818181818183	23236958.0
SRR1751230_2	52.523898671712026	46.0	101.0	18.181818181818183	23236958.0
SRR1751231_1	58.207411272346995	48.0	101.0	18.181818181818183	21897505.0
SRR1751231_2	56.49554527392574	48.0	101.0	18.181818181818183	21897505.0
SRR1751232_1	50.63923595683939	50.0	101.0	18.181818181818183	27137861.0
SRR1751232_2	48.757292867667935	50.0	101.0	9.090909090909092	27137861.0
